gene	type	intercept	T2	acrAB	bamE	dapA	hdeA	letA	lolB	lptD	marR	mdtA	micA	mraZ	pspA	rcsA	rpoE	tolC	waaQ	ydiF	ygiM
actS	perfect	2.13210360787017e-12	0.291534204769692	5.43313798479069e-05	4.32964800291783e-11	6.38942421037088e-08	5.56093012893948e-14	0.000862099825561019	0.00144557611311387	2.74282283047148e-15	0.000273271022060447	4.91201978859189e-33	2.66676250036518e-08	1.14302469078642e-12	2.91100255214741e-08	3.610115422076e-09	0.00784522727498104	5.64012098179257e-06	4.41505548461321e-06	5.38563230845246e-69	0.783460820866821
ada	perfect	0.094073823703767	0.993227221309428	0.948938136870515	0.869710169605837	0.983019132170283	0.371958091769454	0.041833344765754	0.770197686363035	0.945574341884526	0.970131709666433	2.33144944296052e-45	0.999822528239635	1	1.56008808657275e-07	1	0.363458093779851	0.957513633999735	0.988406239530334	1.1891596318274e-06	0.95730036566491
add	perfect	0.0376761095519074	0.820775161282769	0.952727056179121	0.988919502960644	0.962226490693135	0.111842937196015	0.946628734683579	0.999267175272689	0.837552724581315	0.780318006129483	8.12541537237477e-11	0.507906154671837	0.966907725905562	0.0163520471099265	1	0.150464788260064	0.0140683615744722	0.996018613008947	4.1137830843142e-21	0.00266727255125448
adeD	perfect	0.0905474658801842	0.0111335052499768	0.437941384225658	0.581070726619642	0.203916864126859	0.00718535782378135	0.472361656965782	0.787390788562691	1	0.83556620381091	4.29631575216654e-57	0.880136253698412	0.764230058495212	0.401632743343541	5.14361189218529e-09	6.54913496132246e-05	0.425876369080973	0.434573431001677	1.44867086775206e-64	0.000545351397579536
adeP	perfect	2.27602512997942e-08	0.0741236253955788	0.0128936335304665	5.64824665566636e-05	0.160091535593561	3.59939396648298e-06	1.65001367002429e-08	0.00481218549746112	0.00784672428072213	7.14110092266197e-24	9.44732276347679e-49	8.19094356626645e-10	1	0.67502419967613	0.00114596505185122	0.0567543449014094	1.31317053051036e-05	5.87128992038389e-07	1.07985495438614e-85	0.00010809509853167
adeQ	perfect	1.58912815052549e-09	0.0454875210631917	0.292619733300995	0.276185311351332	0.145814971909547	0.0199638286144413	0.801498292820015	0.851601493118831	0.200415594298236	0.350052507869085	2.85137095274656e-103	0.198408959792862	1.71789044799725e-19	0.43866234618335	0.101748715561329	0.0268280202494507	0.0997139381950922	0.418450996203485	9.16169174491096e-98	1.25414886626183e-28
adhE	perfect	3.28722659053244e-05	4.23252560360514e-12	0.935960592813291	0.199894496136635	0.011761707339167	0.25906059761205	0.884896300157305	0.80302464372955	0.979790869667615	0.238585938394496	0.000133811707089997	0.908174823823482	0.687177726789002	0.000427099092685016	1	0.00653132524977899	0.786363228574988	0.943365777994971	8.34233235903047e-198	2.43619040687965e-06
adhP	perfect	0.418964864242873	0.315540483355059	0.0709736672679479	1	0.445119071302332	0.0524720113443361	0.994664783926918	0.902547143551115	0.0757834158483197	0.769322088662489	4.21613763325995e-82	0.788554438776536	0.751766375913102	0.000398976047515141	0.370730422610519	0.000270790704821734	0.418705430490599	0.63674934348813	3.57822339861949e-101	0.138020689272104
adiA	perfect	0.00297964427462564	0.379815103603735	0.573814147943681	1	0.874474875903253	0.267540470339964	1	1	0.623755325532339	0.949284541362457	5.67164911432191e-18	0.770585137886028	0.924989537488258	0.391141320416687	0.940280916602483	0.450588001619052	0.780772113468155	0.973461921365242	5.09808508799987e-33	0.808246175690828
adiC	perfect	1.15165344892091e-07	1.96085243090316e-14	1	4.47092557756591e-11	0.00178104218019586	3.50030390457108e-11	0.00618031909669473	0.00539109978134107	1	6.40468599965941e-16	4.8399154468102e-14	2.22909772930893e-08	3.50865808458919e-06	0.00878651360049927	1.48622109332133e-12	3.03765221942208e-18	0.0123724375523751	0.000177148812148761	1.62798098019962e-158	9.92688897566011e-08
adiY	perfect	0.0359479901581546	0.00361594515329569	0.729079705116643	0.989643526901778	0.461337111818749	0.0191466806772468	1	1	0.727216566414448	1	2.87010835286536e-45	1	0.908541374382466	0.388800165022158	1	0.473046041174589	0.514780369283634	0.998944257453355	1.11719225653997e-90	1
adk	mismatch	0.000483546351592939	0.000621239127621924	0.023844771122442	1.67936925143278e-05	0.0873913058684434	2.49088368957107e-11	0.167087395640112	0.0686002438703698	3.10968655389072e-09	9.41195000897937e-21	9.35261950871215e-15	2.03256591211842e-30	0.0378619913009889	2.72600913611222e-15	0.582848651025462	1.30693974492458e-15	8.35594073785557e-09	7.57434524868591e-06	2.19539593612576e-13	0.487317818987405
